,id,target,response,phonological_score,phonological_score_stems
0,1,bird,berd,0.0,0.0
1,2,cat,table,1.0,1.0
3,4,table,taple,0.5,0.5
4,5,dog,tog,0.3333333333333333,0.3333333333333333
6,7,grace,gaze,0.4,0.4
7,8,window,window,0.0,0.0
8,9,provide,proe,0.7142857142857143,0.7142857142857143
9,10,greet,great,0.4,0.4
10,11,though,though,0.0,0.0
11,12,poem,poem,0.0,0.0
12,13,absent,absent,0.0,0.0
13,14,grief,great,0.6,0.6
14,15,happy,happy,0.0,0.0
15,16,strict,strict,0.0,0.0
16,17,faith,gace,0.5,0.5
17,18,providing,provide,0.2222222222222222,0.2222222222222222
18,19,provided,provide,0.2222222222222222,0.2222222222222222
19,20,provide,provide,0.0,0.0
2,3,lorni,,NA,NA
5,6,dog,,NA,NA
